casenum,form,i1_1,i1_2,i1_3,i1_4,i1_5,i2_1,i2_2,i2_3,i2_4,i2_5,i3_1,i3_2,i3_3,i3_4,i3_5,i4_1,i4_2,i4_3,i4_4,i4_5,i5_1,i5_2,i5_3,i5_4,i5_5,i6_1,i6_2,i6_3,i6_4,i6_5,i7_1,i7_2,i7_3,i7_4,i7_5,i8_1,i8_2,i8_3,i8_4,i8_5,i9_1,i9_2,i9_3,i9_4,i9_5,i10_1,i10_2,i10_3,i10_4,i10_5,i11_1,i11_2,i11_3,i11_4,i11_5,i12_1,i12_2,i12_3,i12_4,i12_5,i13_1,i13_2,i13_3,i13_4,i13_5,i14_1,i14_2,i14_3,i14_4,i14_5,i15_1,i15_2,i15_3,i15_4,i15_5,i16_1,i16_2,i16_3,i16_4,i16_5,i17_1,i17_2,i17_3,i17_4,i17_5,i18_1,i18_2,i18_3,i18_4,i18_5,i19_1,i19_2,i19_3,i19_4,i19_5,i20_1,i20_2,i20_3,i20_4,i20_5,i21_1,i21_2,i21_3,i21_4,i21_5,i22_1,i22_2,i22_3,i22_4,i22_5,i23_1,i23_2,i23_3,i23_4,i23_5,i24_1,i24_2,i24_3,i24_4,i24_5,i25_1,i25_2,i25_3,i25_4,i25_5,i26_1,i26_2,i26_3,i26_4,i26_5,i27_1,i27_2,i27_3,i27_4,i27_5,i28_1,i28_2,i28_3,i28_4,i28_5,i29_1,i29_2,i29_3,i29_4,i29_5,i30_1,i30_2,i30_3,i30_4,i30_5,i31_1,i31_2,i31_3,i31_4,i31_5,i32_1,i32_2,i32_3,i32_4,i32_5,i33_1,i33_2,i33_3,i33_4,i33_5,i34_1,i34_2,i34_3,i34_4,i34_5,i35_1,i35_2,i35_3,i35_4,i35_5,i36_1,i36_2,i36_3,i36_4,i36_5,i37_1,i37_2,i37_3,i37_4,i37_5,i38_1,i38_2,i38_3,i38_4,i38_5,i39_1,i39_2,i39_3,i39_4,i39_5,i40_1,i40_2,i40_3,i40_4,i40_5,i41_1,i41_2,i41_3,i41_4,i41_5,i42_1,i42_2,i42_3,i42_4,i42_5,i43_1,i43_2,i43_3,i43_4,i43_5,i44_1,i44_2,i44_3,i44_4,i44_5,i45_1,i45_2,i45_3,i45_4,i45_5,i46_1,i46_2,i46_3,i46_4,i46_5,i47_1,i47_2,i47_3,i47_4,i47_5,i48_1,i48_2,i48_3,i48_4,i48_5,i49_1,i49_2,i49_3,i49_4,i49_5,i50_1,i50_2,i50_3,i50_4,i50_5,i51_1,i51_2,i51_3,i51_4,i51_5,i52_1,i52_2,i52_3,i52_4,i52_5,i53_1,i53_2,i53_3,i53_4,i53_5,i54_1,i54_2,i54_3,i54_4,i54_5,i55_1,i55_2,i55_3,i55_4,i55_5,i56_1,i56_2,i56_3,i56_4,i56_5,i57_1,i57_2,i57_3,i57_4,i57_5,i58_1,i58_2,i58_3,i58_4,i58_5,i59_1,i59_2,i59_3,i59_4,i59_5,i60_1,i60_2,i60_3,i60_4,i60_5,flag
1,1,2,2,4,4,2,4,4,3,3,2,3,4,3,4,2,4,4,4,2,2,5,5,4,2,1,1,2,3,4,3,3,3,4,3,3,3,4,4,2,2,4,4,4,2,2,4,4,3,3,4,2,2,3,4,3,2,3,4,4,2,2,3,4,2,2,5,4,4,2,1,2,3,4,3,2,1,2,3,4,2,3,3,4,2,2,4,4,3,2,2,2,3,4,3,2,2,4,4,2,1,1,2,4,2,1,3,4,4,3,2,4,4,3,2,2,4,3,3,3,3,4,4,4,2,2,1,2,3,4,2,2,4,4,2,2,3,4,4,2,2,2,4,4,2,2,3,4,4,4,3,1,2,4,4,2,3,4,4,2,2,2,3,4,3,2,4,5,4,3,2,5,5,4,2,2,1,2,3,4,2,3,4,4,3,2,4,5,4,2,2,2,3,4,3,2,3,4,4,2,2,1,2,4,4,3,2,4,3,3,2,3,5,4,3,2,4,5,4,2,2,5,5,4,2,1,1,2,4,4,5,2,3,4,2,2,4,5,4,3,2,2,2,4,3,2,4,5,4,2,1,2,3,4,3,2,3,5,4,2,2,3,4,4,2,1,2,2,3,3,2,4,5,4,2,2,2,2,3,4,4,4,5,4,2,2,3,4,4,3,2,4,4,4,3,2,3,4,4,3,2, 
2,3,3,3,3,2,2,4,3,3,3,2,3,3,3,2,2,3,4,4,3,3,3,3,3,2,3,3,4,3,2,2,3,3,2,2,2,4,3,3,3,3,3,3,3,3,2,4,4,4,3,3,3,3,3,2,2,2,2,3,2,2,3,3,2,2,2,3,3,3,2,2,4,4,3,4,3,4,4,4,2,2,3,3,3,2,3,4,3,3,3,3,3,3,2,3,3,4,4,4,3,2,4,3,3,3,3,3,3,2,2,2,3,3,3,4,3,3,4,4,3,2,4,4,3,2,2,4,3,3,2,2,4,3,3,3,3,2,2,2,2,3,4,4,3,2,2,3,3,3,2,2,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,2,2,3,2,2,3,3,3,2,3,3,3,2,3,3,4,4,3,3,3,3,3,3,2,3,1,1,1,2,2,3,3,3,3,3,2,2,3,2,2,4,4,4,3,3,4,4,3,3,3,5,5,4,4,3,4,4,3,3,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
3,8,2,3,4,2,1,2,2,4,3,2,3,3,4,3,3,4,4,4,2,1,5,5,4,3,2,1,1,3,4,4,3,3,3,2,2,1,1,2,4,5,3,3,4,4,3,5,5,4,2,1,1,2,2,4,5,1,1,2,3,5,3,3,4,4,2,2,3,4,4,2,5,4,4,3,2,1,1,2,4,5,1,1,2,4,5,1,1,2,4,4,1,2,2,4,4,2,2,3,4,5,1,2,2,4,5,1,2,2,4,4,2,3,3,4,4,2,2,3,4,4,5,4,4,2,1,1,2,2,4,5,2,3,3,4,5,1,1,2,4,5,1,2,2,4,5,2,3,3,4,4,2,2,4,3,2,2,3,3,4,4,1,2,4,3,2,4,5,4,2,1,5,4,4,2,1,1,2,2,4,5,2,3,3,4,2, , , , , ,5,4,4,2,2,5,4,4,2,2,2,2,4,4,2,1,1,2,4,3,2,3,4,4,2,4,4,4,3,3,4,4,4,2,2,1,1,2,4,5,1,2,3,4,4,2,2,4,3,2,2,2,3,4,2,1,2,3,4,4,2,2,3,4,5,2,3,4,4,4,1,2,2,4,5,2,3,4,4,3,1,2,2,4,4,1,2,3,4,4,1,1,2,4,4,4,4,4,2,1,1,2,2,4,4,4,5,4,2,2, 
4,9,3,3,4,4,4,2,2,3,3,3,3,3,3,4,4,2,2,3,3,3,2,2,2,3,3,4,4,3,2,2,4,4,3,3,3,2,2,2,2,3,1,1,1,1,1,1,1,1,1,2,4,4,3,3,3,4,4,4,3,3,4,4,3,3,3,1,1,2,2,3,1,1,2,2,2,3,3,3,2,2,3,3,3,4,4,3,3,3,4,4,2,2,2,3,4,1,1,2,3,3,4,4,3,3,2,4,3,3,2,2,4,3,3,3,2,3,3,3,3,4,4,4,3,3,2,3,3,3,4,4,2,2,2,3,3,4,4,4,3,3,1,1,2,3,4,3,3,3,2,2,2,2,3,3,4,4,3,3,3,2,4,3,3,2,2,2,2,3,3,4,2,2,3,3,4,2,2,3,4,4,4,4,3,3,2,4,4,3,3,2,2,2,2,3,3,2,2,3,3,4,4,4,4,3,2,2,2,3,3,4,2,2,3,3,4,1,1,2,3,4,2,2,2,3,3,5,4,4,4,3,2,2,3,3,4,3,3,3,3,3,2,2,2,3,3,1,1,2,2,3,2,2,2,3,3,2,2,2,3,4,3,3,3,4,4,2,2,2,3,4,2,2,3,3,4,4,4,4,3,3,4,3,3,3,2,5,5,4,4,3,1,1,2,2,3,4,3,3,3,2, 
6,1,1,1,3,4,3,5,5,5,3,3,4,4,3,2,2,3,4,4,2,1,5,5,4,2,1,1,1,4,5,4,4,4,4,3,2,5,5,4,2,2,5,5,5,1,1,2,2,3,3,3,1,1,3,3,3,3,4,4,3,3,4,4,4,3,2,5,5,5,2,2,4,4,4,3,2,1,1,3,4,3,2,3,3,3,2,3,4,4,3,2,4,4,4,2,1,2,2,4,3,2,2,3,3,3,2,5,5,4,2,1,3,3,3,3,2,3,3,3,3,3,4,4,4,3,2,1,1,4,4,3,5,5,5,3,2,5,5,4,1,1,5,5,5,2,1,4,4,4,3,2,1,1,3,4,4,5,5,5,3,2,4,4,4,2,2,4,5,5,2,2,5,5,4,1,1,1,1,2,4,4,4,4,4,3,3,5,5,4,2,1,4,4,4,3,2,4,4,4,3,2,1,1,1,4,4,2,4,4,3,3,5,5,5,3,2,4,4,4,3,2,5,5,4,2,1,4,4,3,3,3,2,2,4,3,2,5,5,5,2,1,2,3,3,3,2,4,5,4,2,1,1,1,3,4,4,5,5,5,2,2,3,3,3,3,2,2,3,3,3,3,4,4,4,3,1,2,2,3,4,4,4,4,4,2,1,3,4,4,2,2,5,5,4,2,2,4,4,4,2,2, 
7,5,2,2,3,4,4,4,4,3,3,2,2,3,3,3,2,3,4,4,3,2,4,4,3,2,2,1,2,3,3,4,4,4,3,3,2,4,4,3,2,2,2,4,3,2,2,2,3,4,2,2,1,2,3,4,3,1,2,3,2,2,3,3,4,3,2,4,4,3,2,2,3,4,4,3,3,2,2,3,4,4,3,3,3,2,2,2,2,3,4,3,2,3,4,3,2,4,4,3,2,2,2,2,4,3,2,2,3,4,3,3,3,3,4,2,2,2,3,4,2,2,3,4,3,2,2,2,3,4,3,2,4,4,4,3,2,1,2,2,3,4,2,3,3,4,2,1,2,3,3,4,3,4,3,2,2,2,2,3,4,4,4,4,3,3,2,2,3,3,2,2,4,4,3,2,1,4,4,3,3,2,3,3,4,3,2,2,2,3,4,4,1,2,3,3,4,3,3,3,4,4,2,2,3,4,4,2,2,3,4,3,1,2,4,3,2,1,2,3,4,5,2,3,4,4,3,2,2,3,4,3,2,3,4,3,2,2,2,3,4,4,2,2,2,3,4,2,3,4,3,2,4,4,3,2,2,2,3,4,3,2,1,2,3,4,3,2,3,4,2,2,2,3,3,4,3,4,4,3,2,2,3,4,3,2,2,1,2,2,4,4,2,2,3,4,3,1,2,4,3,2, 
8,7,4,4,5,3,2,3,3,4,4,4,4,5,3,3,2,1,2,3,4,4,1,1,3,4,4,5,4,4,2,1,1,1,2,4,3,3,3,3,3,3,1,1,2,2,3,1,1,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,2,2,3,3,1,1,2,2,2,3,3,3,3,3,2,3,3,4,4,2,2,3,3,3,1,1,1,2,3,2,3,3,3,4,5,5,4,4,3,5,5,4,4,3,4,4,4,3,3,1,3,4,5,3,1,1,2,2,3,5,5,4,4,3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,1,1,2,2,3,4,4,3,3,3,1,2,2,2,3,2,2,2,3,3,2,2,3,3,3,2,2,2,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,1,1,2,2,3,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,1,1,2,2,3,1,1,2,3,3,5,5,4,4,3,4,4,4,4,3,4,4,3,3,3,1,1,1,2,2,1,1,1,2,2,5,5,4,4,3,1,1,2,1,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1
9,6,2,2,4,4,4,2,2,2,4,4,3,3,3,2,2,5,5,4,1,1,5,5,4,2,1,1,2,3,4,5,1,3,3,2,2,1,2,4,3,3,1,1,2,4,4,5,4,4,2,2,5,5,5,2,2,1,2,2,4,5,2,2,4,4,4,1,1,3,4,5,3,3,3,3,3,2,2,2,4,4,1,1,2,5,5,4,4,3,3,3,3,3,3,3,3,1,2,2,4,4,1,1,4,5,5,1,1,1,4,5,3,3,3,3,3,2,2,3,4,4,5,4,4,2,1,5,5,5,2,1,4,4,3,2,1,4,4,3,3,3,4,4,4,3,3,4,4,4,2,2,1,2,4,4,4,3,3,3,3,3,5,4,4,1,1,5,5,4,1,1,1,2,3,4,5,4,4,4,2,2,1,1,2,4,5,4,4,3,3,3,1,1,1,4,4,3,3,3,3,3,4,4,4,2,1,1,2,3,4,4,3,3,3,3,3,2,2,2,4,4,3,3,3,2,2,3,3,3,3,3,4,4,4,2,1,4,4,3,2,2,2,3,3,3,4,1,1,3,4,4,3,3,3,3,3,2,2,3,4,4,5,5,4,3,3,3,3,3,3,3,1,1,2,4,5,4,4,4,3,3,4,4,4,2,2,3,3,4,3,3,3,3,3,3,3,2,2,3,4,4, 
10,3,1,2,2,3,4,5,5,4,3,1,4,4,4,2,2,5,4,4,3,2,5,5,4,4,2,1,1,2,2,4,4,4,3,3,2,5,4,3,3,1,2,2,3,4,4,1,1,2,2,4,1,1,2,2,5,4,4,3,2,1,5,5,4,3,2,5,5,5,3,1,5,5,5,4,1,1,1,2,2,5,2,3,3,4,5,5,4,3,1,1,5,5,5,4,3,5,5,4,3,1,1,2,2,2,4,5,4,3,2,1,5,4,4,2,2,4,4,3,3,1,5,5,4,1,1,1,1,1,3,5,4,3,3,3,1,2,2,3,4,4,5,4,4,3,3,5,5,5,2,1,1,1,1,2,5,5,5,3,3,1,2,2,3,4,5,5,5,4,4,2,5,5,3,3,2,1,1,2,2,5,4,4,3,1,1,3,3,2,4,5,1,1,2,1,1,4,4,3,3,2,1,1,2,2,5,5,4,3,2,2,2,2,3,4,4,5,5,3,3,1,5,5,5,3,1,2,2,3,3,5,5,5,5,4,4,5,5,3,2,2,1,2,2,3,5,5,5,4,4,1,1,1,2,2,5,5,5,4,3,1,5,5,4,4,1,4,4,3,2,1,5,5,4,4,1,1,2,2,3,5,5,5,4,4,2,4,4,3,2,2,1,1,1,3,5,1,1,3,3,5, 
12,1,1,1,1,3,5,5,4,4,1,1,5,4,3,1,1,5,4,1,1,1,5,5,2,1,1,1,1,1,1,5,2,2,3,3,3,4,4,3,3,3,4,5,2,2,1,1,1,2,3,3,3,3,3,3,3,4,5,3,1,1,3,4,3,3,1,5,4,1,1,1,4,5,1,1,1,1,2,2,3,4,4,4,3,1,1,5,5,4,1,1,4,4,5,3,3,3,3,3,3,3,1,1,1,2,4,1,5,3,1,1,5,5,4,1,1,5,5,4,1,1,4,5,4,1,1,1,1,2,4,5,5,5,4,1,1,3,5,4,3,3,5,5,4,3,3,3,5,3,2,1,1,1,1,2,5,5,5,4,2,1,4,5,4,2,1,5,5,4,1,1,5,5,4,2,2,1,1,3,4,5,3,3,3,3,3,3,3,3,3,3,4,5,4,1,1,1,1,3,3,4,1,1,1,1,5,3,4,5,3,3,5,5,4,2,1,5,5,4,2,1,5,5,2,1,1,1,1,2,4,5,3,5,4,2,1,4,5,4,2,1,1,2,2,4,5,4,5,2,1,1,1,2,2,4,5,5,5,3,2,2,5,5,3,2,1,5,5,4,2,1,4,5,3,1,1,1,1,2,4,5,4,5,2,1,1,5,5,3,3,3,5,5,3,2,1,5,5,3,1,1,1
