,friends_1,friends_2,friends_3,friends_4,friends_5,angry_1,angry_2,angry_3,angry_4,angry_5,blue_1,blue_2,blue_3,blue_4,blue_5,simp_1,simp_2,simp_3,simp_4,simp_5,irritated_1,irritated_2,irritated_3,irritated_4,irritated_5,worry_1,worry_2,worry_3,worry_4,worry_5,trust_1,trust_2,trust_3,trust_4,trust_5,charge_1,charge_2,charge_3,charge_4,charge_5,satisfy_1,satisfy_2,satisfy_3,satisfy_4,satisfy_5,excite_1,excite_2,excite_3,excite_4,excite_5,busy_1,busy_2,busy_3,busy_4,busy_5,enjoy_1,enjoy_2,enjoy_3,enjoy_4,enjoy_5,go_1,go_2,go_3,go_4,go_5,relaxed_1,relaxed_2,relaxed_3,relaxed_4,relaxed_5,habit_1,habit_2,habit_3,habit_4,habit_5
1,4,4,3,3,2,1,2,3,4,3,2,2,3,4,3,2,4,4,2,2,1,2,3,4,2,2,2,4,4,2,4,4,4,2,2,2,3,4,4,2,2,3,4,3,2,3,4,4,3,2,3,3,4,2,2,2,3,4,3,2,2,3,4,2,2,4,4,5,3,2,4,4,3,3,3
5,5,5,5,3,3,1,1,4,5,4,1,1,3,3,3,5,5,5,2,1,1,1,2,4,4,1,1,3,4,3,3,4,4,2,1,3,4,4,3,3,4,4,4,2,1,5,5,4,2,1,2,3,3,3,2,4,4,4,2,2,2,2,4,3,2,4,4,3,2,1,3,3,3,3,3
10,5,4,4,1,1,1,1,1,1,5,3,3,3,3,3,5,5,4,3,3,1,1,3,4,5,1,1,1,3,5,5,4,1,1,1,4,5,3,1,1,4,4,5,3,3,1,5,3,1,1,4,4,3,1,1,4,5,4,2,1,3,5,4,2,1,4,4,3,2,2,2,2,2,3,3
21,4,4,4,2,2,1,1,3,4,4,2,2,3,4,4,4,4,4,2,2,2,2,3,3,4,2,2,4,4,2,5,5,5,2,2,4,4,4,2,2,4,4,4,2,2,4,4,4,2,2,5,5,3,3,3,2,2,3,4,4,3,3,3,3,3,5,4,4,3,3,4,4,3,3,2
33,5,4,4,2,1,1,1,2,3,5,2,2,2,4,5,5,4,4,2,1,1,1,2,3,5,3,3,4,4,2,5,5,4,2,1,3,3,4,4,3,5,5,4,2,1,5,5,4,2,1,1,1,3,4,5,4,3,3,3,2,2,3,3,4,4,4,4,5,2,1,2,3,3,3,2
51,5,4,4,2,2,2,2,3,4,4,1,1,3,4,5,5,5,5,1,1,2,2,2,4,4,2,3,3,4,4,3,3,4,3,2,4,4,4,3,2,4,4,3,2,1,4,4,4,2,1,2,2,3,4,4,4,4,3,3,3,2,2,3,4,4,4,4,4,2,2,4,4,4,2,2
54,5,5,4,4,2,1,2,3,4,5,2,2,3,3,4,5,5,4,3,2,1,1,3,4,5,1,2,3,4,4,4,4,4,3,2,2,3,4,4,2,3,4,5,3,1,3,4,5,3,1,1,2,5,4,2,1,2,3,4,3,5,4,4,3,2,2,3,4,2,1,2,2,4,3,2
63,4,4,5,3,2,2,2,3,3,3,3,3,2,2,2,3,3,2,2,2,4,4,3,3,2,2,3,3,2,2,3,4,3,2,2,4,4,3,3,2,4,4,4,3,3,5,4,4,3,2,5,4,4,3,3,3,3,2,2,1,5,4,3,3,2,1,2,4,4,2,1,2,3,4,4
68,5,5,3,2,2,2,3,3,4,5,3,3,4,3,2,3,3,3,4,3,2,2,3,4,4,2,4,5,3,2,5,5,2,2,2,4,4,3,4,1,4,4,3,2,2,3,3,4,2,2,2,2,3,4,4,1,1,1,1,4,2,3,4,3,2,2,2,4,4,4,4,4,4,2,2
17,5,4,4,3,3,1,2,4,4,3,2,2,4,4,2,4,4,4,3,1,2,2,4,4,3,2,4,4,4,2,4,4,5,4,2,4,5,4,3,2,5,4,4,3,3,3,4,4,4,2,2,2,4,4,3,5,5,4,3,3,2,3,3,4,3,1,2,3,4,4,2,2,4,4,4
27,2,2,4,4,4,5,4,4,1,1,4,4,4,2,2,5,4,4,2,2,4,4,4,2,2,5,4,4,2,2,2,2,4,4,4,2,2,4,4,4,5,5,4,1,1,5,4,4,1,1,4,4,4,2,2,1,2,4,4,4,4,4,3,2,1,4,5,4,4,2,5,5,4,2,1
31,5,5,4,2,1,1,2,3,4,5,1,2,3,4,5,5,5,3,2,1,1,2,3,4,5,1,2,3,4,2,1,4,5,2,1,1,3,4,3,2,2,4,4,2,1,2,4,4,2,1,1,4,5,4,1,1,3,4,4,2,2,3,5,3,2,1,2,4,4,4,3,4,4,3,2
37,5,5,4,3,2,1,2,3,3,2,1,1,3,4,4,4,4,3,3,2,1,2,3,3,4,1,2,3,4,2,4,4,4,3,2,4,4,5,3,1,3,4,4,3,2,4,4,5,3,2,2,2,3,3,2,3,3,4,2,2,1,2,3,3,1,2,3,4,4,4,1,2,5,4,1
40,4,3,4,4,3,2,2,2,3,3,4,3,3,3,3,4,4,4,3,3,4,3,3,3,3,4,4,4,4,4,1,1,3,3,1,4,4,4,3,3,2,2,3,4,4,5,5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,2,4,4,2,1,5,5,5,2,2
56,5,5,4,2,1,1,1,2,4,5,1,1,2,4,5,2,3,4,3,2,1,1,2,4,5,2,2,4,4,5,4,5,4,2,1,5,5,4,2,1,4,5,4,2,1,5,5,4,2,1,2,4,5,2,1,2,2,4,2,2,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,4,4,3,2,2,1,2,3,3,4,1,2,3,4,4,5,4,3,3,2,1,2,3,4,5,2,2,3,4,5,4,4,4,3,2,4,4,3,3,3,4,4,3,3,3,4,4,3,2,2,2,2,3,4,5,2,2,2,4,5,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,5,5,4,2,2,1,1,1,5,5,1,2,3,4,4,5,5,3,2,1,1,1,1,4,4,1,1,3,4,2,2,3,4,2,2,4,4,3,1,1,2,2,3,3,4,5,5,3,1,1,2,2,2,4,4,3,3,4,4,4,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,5,5,3,2,2,2,2,3,3,3,2,2,3,2,2,4,4,4,2,2,3,3,2,1,1,4,4,3,2,2,5,4,3,2,2,4,4,3,2,1,4,4,4,2,2,5,5,5,2,2,5,5,5,1,1,4,3,3,3,3,5,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
