"","Latency","Answer","cat","cond","tier"
"1",0.431,"Neutral","ass.b1","Asymmetric","Bottom 1%"
"2",1.2,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"3",1.081,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"4",0.388,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"5",1.373,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"6",1.287,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"7",1.371,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"8",0.698,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"9",5.846,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"10",7.201,"Undesirable","ass.b1","Asymmetric","Bottom 1%"
"11",3.173,"Undesirable","ass.b1","Asymmetric","Bottom 1%"
"12",1.539,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"13",0.923,"Neutral","ass.b1","Asymmetric","Bottom 1%"
"14",7.365,"Undesirable","ass.b1","Asymmetric","Bottom 1%"
"15",3.513,"Neutral","ass.b1","Asymmetric","Bottom 1%"
"16",2.443,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"17",1.02,"Undesirable","ass.b1","Asymmetric","Bottom 1%"
"18",3.565,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"19",1.302,"Neutral","ass.b1","Asymmetric","Bottom 1%"
"20",1.235,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"21",1.582,"Neutral","ass.b1","Asymmetric","Bottom 1%"
"22",1.52,"Undesirable","ass.b1","Asymmetric","Bottom 1%"
"23",1.385,"Undesirable","ass.b1","Asymmetric","Bottom 1%"
"24",6.115,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"25",1.213,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"26",8.757,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"27",2.328,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"28",1.969,"Neutral","ass.b1","Asymmetric","Bottom 1%"
"29",2.709,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"30",0.532,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"31",2.51,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"32",3.999,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"33",0.656,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"34",1.447,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"35",3.593,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"36",1.45,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"37",0.901,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"38",2.741,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"39",4.982,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"40",0.821,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"41",3.667,"Undesirable","ass.b1","Asymmetric","Bottom 1%"
"42",4.783,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"43",0.56,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"44",2.82,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"45",3.092,"Very Desirable","ass.b1","Asymmetric","Bottom 1%"
"46",7.836,"Desirable","ass.b1","Asymmetric","Bottom 1%"
"47",6.262,"Very Undesirable","ass.b1","Asymmetric","Bottom 1%"
"48",4.798,"Undesirable","ass.b1","Asymmetric","Bottom 1%"
