"IPIP NEO (Goldberg, 1999)",Rater56,Rater57,Rater58,Rater59,Rater60,Rater61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worry about things.,-2,-1,-2,-1,0,-1,-1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make friends easily.,4,3,3,3,4,3,3.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have a vivid imagination.,3,1,3,0,2,1,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust others.,3,1,2,2,2,1,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete tasks successfully.,4,3,4,2,4,3,3.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get angry easily.,-4,-3,-4,-4,-3,-3,-3.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love large parties.,2,0,0,3,2,0,1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe in the importance of art.,3,0,2,0,1,0,1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Would never cheat on my taxes.,3,2,3,2,4,2,2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like order.,2,1,1,1,1,1,1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Often feel blue.,-2,-2,-2,-2,-2,-2,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take charge.,2,1,1,2,4,1,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experience my emotions intensely.,1,0,3,-3,-1,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make people feel welcome.,3,4,4,4,2,4,3.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try to follow the rules.,2,3,3,2,3,3,2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
