"","Frequency","Percent","Valid Percent"
"0",4,0.0459770114942529,0.0460564191134139
"0.016",1,0.0114942528735632,0.0115141047783535
"0.018",1,0.0114942528735632,0.0115141047783535
"0.019",1,0.0114942528735632,0.0115141047783535
"0.023",1,0.0114942528735632,0.0115141047783535
"0.056",1,0.0114942528735632,0.0115141047783535
"0.06",1,0.0114942528735632,0.0115141047783535
"0.061",1,0.0114942528735632,0.0115141047783535
"0.069",1,0.0114942528735632,0.0115141047783535
"0.074",1,0.0114942528735632,0.0115141047783535
"0.078",1,0.0114942528735632,0.0115141047783535
"0.08",1,0.0114942528735632,0.0115141047783535
"0.091",1,0.0114942528735632,0.0115141047783535
"0.1",1,0.0114942528735632,0.0115141047783535
"0.101",3,0.0344827586206897,0.0345423143350604
"0.112",1,0.0114942528735632,0.0115141047783535
"0.113",1,0.0114942528735632,0.0115141047783535
"0.115",1,0.0114942528735632,0.0115141047783535
"0.122",1,0.0114942528735632,0.0115141047783535
"0.126",1,0.0114942528735632,0.0115141047783535
"0.139",1,0.0114942528735632,0.0115141047783535
"0.14",1,0.0114942528735632,0.0115141047783535
"0.149",3,0.0344827586206897,0.0345423143350604
"0.154",1,0.0114942528735632,0.0115141047783535
"0.157",1,0.0114942528735632,0.0115141047783535
"0.163",2,0.0229885057471264,0.023028209556707
"0.169",1,0.0114942528735632,0.0115141047783535
"0.171",1,0.0114942528735632,0.0115141047783535
"0.174",1,0.0114942528735632,0.0115141047783535
"0.175",1,0.0114942528735632,0.0115141047783535
"0.181",1,0.0114942528735632,0.0115141047783535
"0.185",1,0.0114942528735632,0.0115141047783535
"0.186",1,0.0114942528735632,0.0115141047783535
"0.192",1,0.0114942528735632,0.0115141047783535
"0.195",1,0.0114942528735632,0.0115141047783535
"0.197",2,0.0229885057471264,0.023028209556707
"0.198",1,0.0114942528735632,0.0115141047783535
"0.201",1,0.0114942528735632,0.0115141047783535
"0.202",1,0.0114942528735632,0.0115141047783535
"0.218",1,0.0114942528735632,0.0115141047783535
"0.219",1,0.0114942528735632,0.0115141047783535
"0.22",1,0.0114942528735632,0.0115141047783535
"0.222",1,0.0114942528735632,0.0115141047783535
"0.229",1,0.0114942528735632,0.0115141047783535
"0.231",2,0.0229885057471264,0.023028209556707
"0.232",1,0.0114942528735632,0.0115141047783535
"0.233",1,0.0114942528735632,0.0115141047783535
"0.236",1,0.0114942528735632,0.0115141047783535
"0.243",1,0.0114942528735632,0.0115141047783535
"0.244",1,0.0114942528735632,0.0115141047783535
"0.248",1,0.0114942528735632,0.0115141047783535
"0.249",1,0.0114942528735632,0.0115141047783535
"0.252",1,0.0114942528735632,0.0115141047783535
"0.254",1,0.0114942528735632,0.0115141047783535
"0.258",1,0.0114942528735632,0.0115141047783535
"0.261",1,0.0114942528735632,0.0115141047783535
"0.266",1,0.0114942528735632,0.0115141047783535
"0.268",2,0.0229885057471264,0.023028209556707
"0.272",1,0.0114942528735632,0.0115141047783535
"0.274",1,0.0114942528735632,0.0115141047783535
"0.276",2,0.0229885057471264,0.023028209556707
"0.279",2,0.0229885057471264,0.023028209556707
"0.284",1,0.0114942528735632,0.0115141047783535
"0.285",1,0.0114942528735632,0.0115141047783535
"0.29",1,0.0114942528735632,0.0115141047783535
"0.291",1,0.0114942528735632,0.0115141047783535
"0.292",1,0.0114942528735632,0.0115141047783535
